name,display_name,latitude,longitude
7-ELEVEN โรง A,7-ELEVEN,13.726779,100.775409
อาคารภาควิชาวิศวกรรมการวัดคุม,ตึกวัดคุม,13.727299,100.774434
อาคารภาควิชาวิศวกรรมโยธา,ตึกภาคโย,13.726987,100.774481
Salute Koff,coffee shop,13.727178,100.774334
ร้านถ่ายเอกสาร คลาสสิโคเวิล์ด ภาคโย,ร้านถ่ายเอกสาร,13.727074,100.774148
โรงปฏิบัติการโลหะแผ่นและเชื่อมประสาน,Shop ภาคเครื่อง,13.727265,100.773976
อาคารปฏิบัติการวิศวกรรมโยธา,Shop ภาคโย,13.72688,100.773949
โรงปฏิบัติการชมรม Automotive,Shop Automotive,13.727256,100.773387
อาคารยิมเนเซียม 1,โรงยิม ฝั่งวิศวะ,13.726982,100.773759
ร้านหมูปิ้ง ภาคเครื่อง,coffee shop,13.727392,100.773621
อาคารภาควิชาวิศวกรรมเครื่องกล,ตึกภาคเครื่อง,13.727613,100.773843
อาคารภาควิชาวิศวกรรมอุตสาหการ,ตึกภาคอุตฯ,13.727667,100.773295
iGear books&coffee,coffee shop,13.727216,100.773197
ลานจอดรถ CCA,ลานจอดรถ,13.7268183,100.772905
อาคารปฏิบัติการรวมวิศวกรรมศาสตร์1 CCA,ตึก CCA,13.72663,100.772889
ลาน CCA,ลาน CCA,13.7268066,100.77305
อาคารเรียนรวมวิศวกรรมศาสตร์ 12 ชั้น (ตึกโหล),ตึกโหล,13.727157,100.772407
ATM กรุงศรีฯ ตรงข้ามอาคาร 12 ชั้น (ตึกโหล),ATM,13.7270583,100.7725433
โรงอาหาร C,ร้านอาหาร,13.726983,100.772095
7-ELEVEN อาคาร 12 ชั้น (ตึกโหล),7-ELEVEN,13.726985,100.772242
ร้านอารีรัตน์ อาคาร 12 ชั้น (ตึกโหล),ร้านถ่ายเอกสาร,13.726987,100.772305
ฟอร์เซอร์กิต,ร้านขายอุปกรณ์อิเล็กทรอนิกส์,13.726981,100.77218
Coffee Tree,coffee shop,13.726982,100.771931
ATM SCB / กรุงไทย / กสิกร ใต้อาคาร 12 ชั้น (ตึกโหล),ATM,13.727158,100.772398
หอพักนักศึกษา(พัดลม),หอพัดลม,13.728604,100.773932
สำนักงานหอพักนักศึกษา,สำนักงานหอพัก,13.728652,100.773781
อาคารยิมเนเซียม 2,โรงยิม ฝั่งสนามกีฬา,13.728596,100.772773
สนามเปตอง,สนามเปตอง,13.728702,100.772486
สนามกีฬากลาง,สนามกีฬา,13.729354,100.77221
ที่จอดรถ สนามกีฬา,ลานจอดรถ,13.7290583,100.7715566
สนามบาส ที่ สนามกีฬา,สนามบาส,13.728905,100.7713883
ที่จอดรถหลังสนามกีฬา,ลานจอดรถ,13.730182,100.770983
สนามตะกร้อ,สนามตะกร้อ,13.731325,100.772941
สนามรักบี้/ฟุตบอล,สนามฟุตบอล,13.731341,100.773652
สนามเทนนิส,สนามเทนนิส,13.730769,100.774341
หอพระราชประวัติร.4,หอพระราชประวัติร.4,13.730988,100.77859
ร้านกาแฟข้างสำนักคอม,coffee shop,13.73102,100.780521
ATM SCB หน้าสำนักบริการคอมพิวเตอร์,ATM,13.730655,100.780577
ที่จอดรถข้างอาคารเรียนรวมคณะเทคโนโลยีสารสนเทศ,ลานจอดรถ,13.730888,100.780699
อาคารเรียนรวมคณะเทคโนโลยีสารสนเทศ,ตึก IT ฝั่งสำนักคอม,13.73079,100.780788
อาคารเรียนรวมคณะเทคโนโลยีสารสนเทศ,ตึก IT ฝั่งโรงอาหาร IT,13.730914,100.781541
ที่จอดรถหน้าโรงอาหาร IT,ลานจอดรถ,13.730894,100.782079
โรงอาหารคณะ IT,ร้านอาหาร,13.731017,100.782071
ป้ายรถเมล์หน้าคณะ IT,bus stop,13.730607,100.780926
สนามบาส คณะครุศาสตร์อุตสาหกรรม,สนามบาส,13.730202,100.781142
อาคารบุนนาค คณะเทคโนโลยีการเกษตร,ตึก L บุนนาค,13.729856,100.782092
ที่จอดรถหน้าอาคารบุนนาค,ลานจอดรถ,13.729992,100.78213
แปลงปฏิบัติการเทคโนโลยีการเกษตร,แปลงปฏิบัติการเทคโนฯเกษตร,13.7297866,100.782625
ที่จอดรถหลังอาคารบุนนาค,ลานจอดรถ,13.72892,100.7820233
ร้านถ่ายเอกสารอารีรัตน์ เทคโนโลยีการเกษตร,ร้านถ่ายเอกสาร,13.729243,100.782032
โรงอาหาร คณะเทคโนโลยีการเกษตร,ร้านอาหาร,13.728975,100.781313
ที่จอดรถหน้าอาคารครุศาสตร์อุตสาหกรรม,ลานจอดรถ,13.730233,100.780497
อาคารครุศาสตร์อุตสาหกรรม และสำนักคณบดีคณะครุศาสตร์อุตสาหกรรม,ตึกครุฯ,13.730172,100.780737
อาคารปฏิบัติการพิเศษจอมไตร,ตึกจอมไตร,13.72937,100.780566
โรงอาหาร คณะครุศาสตร์อุตสาหกรรม,ร้านอาหาร,13.7293119,100.7805696
ศูนย์เรียนรู้การจัดการขยะและน้ำเสียชุมชน Municipal waste and wastewater management learning center,ศูนย์เรียนรู้การจัดการน้ำเสีย,13.730092,100.780056
ห้องประชุมคุณหญิงวนิดา ธูปะเตมีย์,ห้องประชุมวนิดา,13.730175,100.780829
ที่จอดรถหน้าตึก ECC,ลานจอดรถ,13.729241,100.776012
